"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00027502","1902-11","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","3,6","","","","","","","29","1,6","1",",6","14","2,6","28","2,6","28","2,6","0","2,6","0","2,6","","","","","19021129",",2,6","19021101",",1,6","19021101",",,6","","","","","19021107","+,2,6","-32.2","2,6,29,","178","1,,6,01,","89",",,6,01,","","","-5.6","2,6,07,+","2974.9","6","946.2","2,6","","","","","","","","","110",",,,6","-16.56","3,6","-13.74","2,,,6","-19.38","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1902-12","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","4,6","","","","","","","31",",6","1",",6","28","2,6","29","2,6","29","2,6","0","2,6","0","2,6","","","","","19021219",",2,6","19021231","+,,6","19021222",",,6","","","","","19021209",",2,6","-37.2","2,6,19,","76",",,6,31,+","25",",,6,22,","","","-3.9","2,6,09,","4170.7","6","1195.8","2,6","","","","","","","","","25",",,,6","-25.50","4,6","-21.74","2,,,6","-29.25","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-01","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","5,6","3",",6","1",",6","0",",6","31",",6","1","1,6","28","2,6","29","2,6","28","3,6","0","3,6","0","3,6","","","","","19030124",",2,6","19030131","+,,6","19030115",",1,6","","","19030115",",,6","19030118",",3,6","-46.7","2,6,24,","127",",,6,31,+","25","1,,6,15,","2.5",",,6,15,","-8.3","3,6,18,","5397.4","6","1226.7","3,6","5.1",",,,6","","","","","","","51","1,,,6","-29.43","5,6","-26.42","3,,,6","-32.44","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-02","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","2,6","2",",6","0",",6","0",",6","28",",6","","","25","1,6","27","1,6","27","1,6","0","1,6","0","1,6","","","","","19030212","+,1,6","19030220","+,,6","","","","","19030220","+,,6","19030228",",1,6","-42.8","1,6,12,+","152",",,6,20,+","","","1.3",",,6,20,+","-3.3","1,6,28,","6535.7","6","1138.3","1,6","2.6",",,,6","","","","","","","","","-25.94","2,6","-22.16","1,,,6","-29.73","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-03","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","4,6","4",",6","4",",6","0",",6","31",",6","4",",6","27","2,6","29","2,6","29","2,6","0","2,6","0","2,6","","","","","19030315",",2,6","19030331","+,,6","19030324","+,,6","","","19030324","+,,6","19030303","+,2,6","-35.6","2,6,15,","203",",,6,31,+","25",",,6,24,+","2.5",",,6,24,+","0.0","2,6,03,+","7629.5","6","1093.8","2,6","10.0",",,,6","","","","","","","100",",,,6","-21.78","4,6","-16.00","2,,,6","-27.56","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-04","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","1,6","","","","","","","30",",","","","26","1,6","29","1,6","30",",6","0",",6","0",",6","","","","","19030406",",1,6","19030428","+,,6","","","","","","","19030428",",,6","-31.7","1,6,06,","203",",,6,28,+","","","","","-2.8",",6,28,","8716.2","6","1086.7",",6","","","","","","","","","","","-19.30","1,6","-14.19",",,,6","-24.40","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-05","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","","","","","","","29","2,","","","6",",6","31",",6","22",",6","0",",6","0",",6","","","","","19030511","+,,6","19030505","+,2,6","","","","","","","19030523",",,6","-21.7",",6,11,+","178","2,,6,05,+","","","","","4.4",",6,23,","9522.0","6","805.8",",6","","","","","","","","","","","-7.66",",6","-3.08",",,,6","-12.25",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-06","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","2",",6","0",",6","0",",6","","","","","0",",6","20",",6","0",",6","0",",6","0",",6","","","","","19030606",",,6","","","","","","","19030614",",,6","19030630",",,6","-7.2",",6,06,","","","","","1.5",",,6,14,","11.7",",6,30,","10003.9","6","481.9",",6","2.5",",,,6","","","","","","","","","2.27",",6","5.46",",,,6","-0.92",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-07","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","7",",6","4",",6","0",",6","","","","","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","19030719","+,,6","","","","","","","19030706",",,6","19030708",",,6","-3.3",",6,19,+","","","","","5.6",",,6,06,","15.6",",6,08,","463.3","6","463.3",",6","18.9",",,,6","","","","","","","","","3.39",",6","6.68",",,,6","0.10",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-08","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","8",",6","4",",6","0",",6","","","","","0",",6","12",",6","0",",6","0",",6","0",",6","","","","","19030827",",,6","","","","","","","19030815",",,6","19030804",",,6","-2.2",",6,27,","","","","","11.7",",,6,15,","12.8",",6,04,","919.6","6","456.3",",6","36.3",",,,6","","","","","","","","","3.61",",6","6.15",",,,6","1.08",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-09","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","4,6","1",",6","0",",6","0",",6","","","","","0","2,6","26","2,6","16","2,6","0","2,6","0","2,6","","","","","19030928",",2,6","","","","","","","19030902",",,6","19030902",",2,6","-7.8","2,6,28,","","","","","2.3",",,6,02,","11.7","2,6,02,","1428.3","6","508.7","2,6","2.3",",,,6","","","","","","","","","-1.16","4,6","0.95","2,,,6","-3.27","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-10","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","2,6","","","","","","","19",",6","","","13","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19031031",",1,6","19031031","+,,6","","","","","","","19031002",",1,6","-31.7","1,6,31,","25",",,6,31,+","","","","","-1.1","1,6,02,","2362.5","6","934.2","1,6","","","","","","","","","","","-14.18","2,6","-10.77","1,,,6","-17.58","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-11","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0",",6","","","","","","","30",",","","","30",",6","30",",6","30",",6","0",",6","0",",6","","","","","19031116","+,,6","19031130","+,,6","","","","","","","19031115",",,6","-32.2",",6,16,+","25",",,6,30,+","","","","","-10.6",",6,15,","3562.1","6","1199.6",",6","","","","","","","","","","","-21.65",",6","-17.82",",,,6","-25.49",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1903-12","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","1,6","1",",6","0",",6","0",",6","31",",6","0",",6","29","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19031231","+,1,6","19031231","+,,6","19031228",",,6","","","19031228",",,6","19031209",",1,6","-33.9","1,6,31,+","51",",,6,31,+","13",",,6,28,","1.3",",,6,28,","-4.4","1,6,09,","4784.9","6","1222.8","1,6","1.3",",,,6","","","","","","","13",",,,6","-22.43","1,6","-19.15","1,,,6","-25.71","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1904-01","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","","0.0","2,6","","","","","","","31",",","","","30","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19040110",",1,6","19040131","+,,6","","","","","","","19040113",",1,6","-40.0","1,6,10,","51",",,6,31,+","","","","","-14.4","1,6,13,","6217.6","","1432.7","1,6","","","","","","","","","","","-31.19","2,6","-28.30","1,,,6","-34.08","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1904-02","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","","0.0","5,6","5",",6","2",",6","0",",6","29",",6","","","25","2,6","27","2,6","26","3,6","0","3,6","0","3,6","","","","","19040219",",2,6","19040220",",,6","","","","","19040221",",,6","19040221","+,3,6","-42.8","2,6,19,","127",",,6,20,","","","3.8",",,6,21,","-3.9","3,6,21,+","7270.5","","1052.9","3,6","9.4",",,,6","","","","","","","","","-25.38","5,6","-20.60","3,,,6","-30.15","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1904-03","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","3",",6","3",",6","0",",6","30","1,6","3",",6","21","4,6","27","4,6","26","4,6","0","4,6","0","4,6","","","","","19040305",",4,6","19040331","+,1,6","19040319",",,6","","","19040319",",,6","19040325",",4,6","-39.4","4,6,05,","152","1,,6,31,+","51",",,6,19,","5.1",",,6,19,","0.6","4,6,25,","","","","","10.1",",,,6","","","","","","","101",",,,6","-18.45","7,6","-12.47","4,,,6","-24.43","4,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1904-04","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0",",6","3",",6","3",",6","0",",6","30",",6","3",",6","16",",6","30",",6","30",",6","0",",6","0",",6","","","","","19040401",",,6","19040430","+,,6","19040429","+,,6","","","19040429","+,,6","19040423","+,,6","-37.8",",6,01,","178",",,6,30,+","25",",,6,29,+","2.5",",,6,29,+","-1.1",",6,23,+","","","1056.1",",6","7.5",",,,6","","","","","","","75",",,,6","-16.87",",6","-11.94",",,,6","-21.80",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1910-09","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","0","5,6","20","5,6","5","2,6","0","2,6","0","2,6","","","","","19100930",",5,6","","","","","","","","","19100906",",2,6","-7.8","5,6,30,","","","","","","","12.2","2,6,06,","","","","","","","","","","","","","","","1.02","7,6","4.18","2,,,6","-2.14","5,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1910-10","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","1,6","","","","","","","31",",","","","2","1,6","30","1,6","30",",6","0",",6","0",",6","","","","","19101026","+,1,6","19101031","+,,6","","","","","","","19101027",",,6","-24.4","1,6,26,+","51",",,6,31,+","","","","","4.4",",6,27,","","","811.0",",6","","","","","","","","","","","-8.63","1,6","-5.00",",,,6","-12.25","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1910-11","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","1,6","","","","","","","30",",6","","","13","1,6","29","1,6","28",",6","0",",6","0",",6","","","","","19101126",",1,6","19101130","+,,6","","","","","","","19101130","+,,6","-32.2","1,6,26,","102",",,6,30,+","","","","","0.6",",6,30,+","","","891.6",",6","","","","","","","","","","","-12.28","1,6","-7.14",",,,6","-17.42","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1910-12","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","1,6","","","","","","","31",",6","","","27","1,6","30","1,6","31",",6","0",",6","0",",6","","","","","19101231","+,1,6","19101231","+,,6","","","","","","","19101205",",,6","-36.1","1,6,31,+","203",",,6,31,+","","","","","-1.7",",6,05,","","","1302.4",",6","","","","","","","","","","","-25.19","1,6","-22.28",",,,6","-28.10","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-01","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","3,6","","","","","","","31",",","","","29","2,6","29","2,6","30","1,6","0","1,6","0","1,6","","","","","19110131","+,2,6","19110131","+,,6","","","","","","","19110117",",1,6","-42.8","2,6,31,+","203",",,6,31,+","","","","","-4.4","1,6,17,","","","1371.2","1,6","","","","","","","","","","","-30.51","3,6","-26.08","1,,,6","-34.93","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-02","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","4,6","","","","","","","","","1",",6","22","2,6","26","2,6","24","3,6","0","3,6","0","3,6","","","","","19110213",",2,6","","","19110226",",,6","","","","","19110226",",3,6","-43.3","2,6,13,","","","38",",,6,26,","","","1.7","3,6,26,","","","1054.4","3,6","","","","","","","","","64",",,,6","-25.72","4,6","-21.36","3,,,6","-30.08","2,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-03","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","0.0","6","0.0","4,6","","","","","","","","","","","28","3,6","28","3,6","29","2,6","0","2,6","0","2,6","","","","","19110312",",3,6","","","","","","","","","19110302",",2,6","-45.6","3,6,12,","","","","","","","-3.3","2,6,02,","","","1304.1","2,6","","","","","","","","","","","-30.11","4,6","-25.81","2,,,6","-34.40","3,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-06","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","3,6","","","","","","","","","","","0",",6","16",",6","3","3,6","0","3,6","0","3,6","","","","","19110603",",,6","","","","","","","","","19110624",",3,6","-5.6",",6,03,","","","","","","","17.8","3,6,24,","","","408.2","3,6","","","","","","","","","","","3.18","3,6","6.76","3,,,6","-0.39",",,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-07","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","0.0","3,6","","","","","","","","","","","0","1,6","2","1,6","0","2,6","0","2,6","0","2,6","","","","","19110717",",1,6","","","","","","","","","19110728","+,2,6","-3.9","1,6,17,","","","","","","","18.9","2,6,28,+","308.2","6","308.2","2,6","","","","","","","","","","","7.47","3,6","11.49","2,,,6","3.46","1,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-08","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2,6","0","2,6","0","2,6","","","","","","","","","","","","","","","19110823",",2,6","","","","","","","","","14.4","2,6,23,","","","","","","","","","","","","","","","","","8.63","2,,,6","","","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-09","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","","","0","4,6","19","4,6","","","","","","","","","","","19110905",",4,6","","","","","","","","","","","-11.1","4,6,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.05","4,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-10","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","","","2",",6","0","4,6","27","4,6","","","","","","","","","","","19111021","+,4,6","","","19111007","+,,6","","","","","","","-13.3","4,6,21,+","","","25",",,6,07,+","","","","","","","","","","","","","","","","","50",",,,6","","","","","-5.07","4,,,6","","","","","","","","","","","","","","","","","","","",""
"USW00027502","1911-12","71.28703","-156.73938","8.1","BARROW AIRPORT, AK US","","","","","","","","","","","","","","","","","","","","","31",",","","","","","","","30","1,6","0","1,6","0","1,6","","","","","","","19111231","+,,6","","","","","","","19111228",",1,6","","","102",",,6,31,+","","","","","-8.9","1,6,28,","","","","","","","","","","","","","","","","","-22.79","1,,,6","","","","","","","","","","","","","","","","","","","","","",""
